id,info
# 파일토큰 | #hex | 이름 | (선택)설명 | CostumePart | (선택)BodyPart,
# -----------------------------,
# Hair,
# -----------------------------,
1001,New_Hair_01.png | #1f1f1f | 야근 블랙컷 | 티 안 나게 강해집니다 | Hair | Hair
1002,New_Hair_02.png | #6b3f2a | 군밤 러프펌 | 고소한 분위기입니다 | Hair | Hair
1003,New_Hair_03.png | #d7b46a | 바나나머리 | 보면 웃음 납니다 | Hair | Hair
1004,New_Hair_04.png | #b71c1c | 토마토컷 | 빨개도 당당합니다 | Hair | Hair
1005,New_Hair_05.png | #ff6f91 | 딸기우유펌 | 달달해 보입니다 | Hair | Hair
1006,New_Hair_06.png | #7e57c2 | 보라물결 | 신비해 보입니다 | Hair | Hair
1007,New_Hair_07.png | #1565c0 | 새벽블루컷 | 차분해 보입니다 | Hair | Hair
1008,New_Hair_08.png | #00897b | 민트초코컷 | 호불호를 부릅니다 | Hair | Hair
1009,New_Hair_09.png | #2e7d32 | 풀숲잠복펌 | 숨어도 들킵니다 | Hair | Hair
1010,New_Hair_10.png | #f9a825 | 레몬번쩍 | 눈에 확 띕니다 | Hair | Hair
1011,New_Hair_11.png | #c0c0c0 | 은빛컷 | 쿨해 보입니다 | Hair | Hair
1012,New_Hair_12.png | #8d6e63 | 라떼단정컷 | 무난한 정석입니다 | Hair | Hair
1013,New_Hair_13.png | #00acc1 | 바다소금컷 | 시원해 보입니다 | Hair | Hair
1014,New_Hair_14.png | #ff8f00 | 귤상큼펌 | 기분 좋아집니다 | Hair | Hair
1015,New_Hair_15.png | #455a64 | 비오는날펌 | 조용해 보입니다 | Hair | Hair
1016,New_Hair_16.png | #4e342e | 초코덤덤컷 | 무표정에 강합니다 | Hair | Hair
1017,New_Hair_17.png | #fdd835 | 꿀벌경고컷 | 다가오지 마세요 | Hair | Hair
1018,New_Hair_18.png | #ad1457 | 루비펌 | 존재감이 납니다 | Hair | Hair
1019,New_Hair_19.png | #3949ab | 밤샘마나컷 | 커피가 필요합니다 | Hair | Hair
1020,New_Hair_20.png | #00e676 | 형광슬라임컷 | 어둠에서 빛납니다 | Hair | Hair
1021,Orc_Hair_01.png | #263238 | 오크그을음컷 | 거칠게 멋집니다 | Hair | Hair
1022,Orc_Hair_02.png | #7cb342 | 오크이끼컷 | 자연산 느낌입니다 | Hair | Hair
1023,Orc_Hair_03.png | #8e24aa | 오크보라컷 | 위압감이 납니다 | Hair | Hair
1024,Hair_1.png | #3e2723 | 다크초코컷 | 든든해 보입니다 | Hair | Hair
1025,Hair_2.png | #bf360c | 칠리컷 | 매콤해 보입니다 | Hair | Hair
1026,Hair_3.png | #1b5e20 | 숲길펌 | 편안해 보입니다 | Hair | Hair
1027,Hair_4.png | #0d47a1 | 심해컷 | 말이 없어 보입니다 | Hair | Hair
1028,Hair_5.png | #f48fb1 | 벚꽃컷 | 봄 느낌입니다 | Hair | Hair
1029,Hair_6.png | #9e9e9e | 회색중립컷 | 어디든 어울립니다 | Hair | Hair
1030,Hair_7.png | #ffcc80 | 모래바람펌 | 사막 감성입니다 | Hair | Hair
1031,Hair_8.png | #5d4037 | 흑설탕펌 | 포근해 보입니다 | Hair | Hair
1032,Hair_9.png | #283593 | 푸른기억컷 | 분위기 잡습니다 | Hair | Hair
1033,Hair_Archer_1.png | #2f2f2f | 아처고요컷 | 조준이 좋아집니다 | Hair | Hair
1034,Hair_Archer_2.png | #caa472 | 아처햇살펌 | 시선이 모입니다 | Hair | Hair
1035,Hair_Healer_1.png | #e0f2f1 | 힐러비누컷 | 깨끗해 보입니다 | Hair | Hair
1036,Hair_Healer_2.png | #80cbc4 | 힐러민트컷 | 상쾌해 보입니다 | Hair | Hair
1037,Hair_Knight_1.png | #424242 | 나이트철갑컷 | 단단해 보입니다 | Hair | Hair
1038,Hair_Knight_2.png | #b0bec5 | 나이트은강철펌 | 반짝여 보입니다 | Hair | Hair
1039,Hair_Rogue_1.png | #212121 | 로그그림자컷 | 존재감이 줄어듭니다 | Hair | Hair
1040,Hair_Rogue_2.png | #5e35b1 | 로그야광펌 | 숨기기 어렵습니다 | Hair | Hair
1041,Hair_Sorcerer.png | #512da8 | 소서러주문컷 | 마법사 같아집니다 | Hair | Hair
1042,Hair_Sorceress.png | #d81b60 | 소서리스장미펌 | 화려해 보입니다 | Hair | Hair
1043,Normal_Hair1.png | #2b2b2b | 노말기본컷 | 기본이 최고입니다 | Hair | Hair
1044,Normal_Hair2.png | #795548 | 노말토스트컷 | 따뜻해 보입니다 | Hair | Hair
1045,Normal_Hair3.png | #a1887f | 노말먼지펌 | 모험가 느낌입니다 | Hair | Hair
1046,Normal_Hair4.png | #ffca28 | 노말황금컷 | 운 좋아 보입니다 | Hair | Hair
1047,Normal_Hair5.png | #ef5350 | 노말분노컷 | 강해 보입니다 | Hair | Hair
1048,Normal_Hair6.png | #26a69a | 노말청량컷 | 시원해 보입니다 | Hair | Hair
1049,Normal_Hair7.png | #42a5f5 | 노말하늘컷 | 가벼워 보입니다 | Hair | Hair
1050,Normal_Hair8.png | #ab47bc | 노말보라펌 | 묘하게 끌립니다 | Hair | Hair
1051,Normal_Hair9.png | #66bb6a | 노말초록컷 | 믿음직해 보입니다 | Hair | Hair
1052,Normal_Hair10.png | #ffa726 | 노말주황컷 | 활기 있어 보입니다 | Hair | Hair
1053,Normal_Hair11.png | #bdbdbd | 노말현자컷 | 똑똑해 보입니다 | Hair | Hair
1054,Normal_Hair12.png | #ec407a | 노말핑크펌 | 친근해 보입니다 | Hair | Hair
1055,Normal_Hair13.png | #8d6e63 | 노말흑당컷 | 안정감 있습니다 | Hair | Hair

,
# -----------------------------,
# Helmet,
# -----------------------------,
2001,New_Helmet_01.png | #ffffff | 냄비뚜껑 헬멧 | 급할 때 가장 강합니다 | Helmet | Head
2002,New_Helmet_02.png | #ffffff | 모서리조심 헬멧 | 문턱에 자주 부딪힙니다 | Helmet | Head
2003,New_Helmet_03.png | #ffffff | 의심많은 헬멧 | 뒤를 자꾸 돌아봅니다 | Helmet | Head
2004,New_Helmet_04.png | #ffffff | 할인스티커 헬멧 | 왠지 싸 보입니다 | Helmet | Head
2005,New_Helmet_05.png | #ffffff | 대장포스 헬멧 | 말 안 해도 따라옵니다 | Helmet | Head
2006,New_Helmet_06.png | #ffffff | 과몰입 헬멧 | 진지함이 과합니다 | Helmet | Head
2007,New_Helmet_07.png | #ffffff | 물티슈 헬멧 | 닦고 나면 자신감이 납니다 | Helmet | Head
2008,New_Helmet_08.png | #ffffff | 세탁완료 헬멧 | 뽀송한 기세입니다 | Helmet | Head
2009,New_Helmet_09.png | #ffffff | 충전중 헬멧 | 아직 완충은 아닙니다 | Helmet | Head
2010,New_Helmet_10.png | #ffffff | 오늘만산다 헬멧 | 계획은 내일 합니다 | Helmet | Head
2011,F_SR_Helmet.png | #ffffff | F_SR 비밀헬멧 | 정체를 묻지 마세요 | Helmet | Head
2012,Helmet_1.png | #ffffff | 기본중의기본 헬멧 | 무난하게 막아줍니다 | Helmet | Head
2013,Helmet_2.png | #ffffff | 반짝반짝 헬멧 | 시선은 잘 끕니다 | Helmet | Head
2014,Helmet_3.png | #ffffff | 묵직한 헬멧 | 생각도 무거워집니다 | Helmet | Head
2015,Helmet_4.png | #ffffff | 가벼운척 헬멧 | 사실 꽤 단단합니다 | Helmet | Head
2016,Helmet_5.png | #ffffff | 눈치게임 헬멧 | 타이밍을 봅니다 | Helmet | Head
2017,Helmet_6.png | #ffffff | 단호박 헬멧 | 흔들리지 않습니다 | Helmet | Head
2018,Helmet_7.png | #ffffff | 새벽감성 헬멧 | 밤에 더 멋져 보입니다 | Helmet | Head
2019,Helmet_8.png | #ffffff | 점검중 헬멧 | 안전이 최우선입니다 | Helmet | Head
2020,Helmet_9.png | #ffffff | 출근거부 헬멧 | 집에 가고 싶습니다 | Helmet | Head
2021,Helmet_Archer_1.png | #ffffff | 아처 조준헬멧 | 눈이 진지해집니다 | Helmet | Head
2022,Helmet_Archer_1_RedHair.png | #ffffff | 아처 조준헬멧 레드 | 더 눈에 띕니다 | Helmet | Head
2023,Helmet_Archer_2.png | #ffffff | 아처 바람헬멧 | 바람을 타는 척합니다 | Helmet | Head
2024,Helmet_Healer_1.png | #ffffff | 힐러 비누헬멧 | 깨끗해 보입니다 | Helmet | Head
2025,Helmet_Healer_2.png | #ffffff | 힐러 긴장헬멧 | 실수 안 하려 합니다 | Helmet | Head
2026,Helmet_Knight_1.png | #ffffff | 나이트 철벽헬멧 | 마음도 막아줍니다 | Helmet | Head
2027,Helmet_Knight_2.png | #ffffff | 나이트 광택헬멧 | 빛이 잘 튑니다 | Helmet | Head
2028,Helmet_Rogue_1.png | #ffffff | 로그 잠입헬멧 | 숨어도 티 납니다 | Helmet | Head
2029,Helmet_Rogue_2.png | #ffffff | 로그 도망헬멧 | 발이 먼저 움직입니다 | Helmet | Head
2030,Helmet_Rogue_RedHair.png | #ffffff | 로그 도망헬멧 레드 | 숨기기 더 어렵습니다 | Helmet | Head
2031,Helmet_Sorcerer.png | #ffffff | 소서러 주문헬멧 | 중얼거림이 늘어납니다 | Helmet | Head
